"Environment and Climate Change Canada"
"Monthly Values for May - 1938"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CULTUS LAKE","49.083","-121.983","BC","",,NA,"",,"",,"0.0","0",NA,"47.7","0",NA,"","9","","",NA,"","","1102220"
"IOCO REFINERY","49.300","-122.883","BC","",,NA,"",,"",,"0.0","0",NA,"83.1","0",NA,"","7","","",NA,"","","1103660"
"NEW WESTMINSTER","49.217","-122.933","BC","13.9","0",NA,"28.9","0","2.8","0","0.0","0",NA,"52.9","0",NA,"","7","","",NA,"134.8","9.2","1105550"
"SEYMOUR CREEK","49.417","-122.950","BC","",,NA,"",,"",,"0.0","0",NA,"105.1","0",NA,"","10","","",NA,"","","1107195"
"SEYMOUR FALLS","49.440","-122.971","BC","",,NA,"",,"",,"0.0","0","0.0","105.6","0","52.0","","9","","",NA,"","","1107200"
"STAVE FALLS","49.233","-122.367","BC","13.1","0","0.3","29.4","0","2.2","0","0.0","0",NA,"100.2","0","68.0","","9","","",NA,"157.9","6.7","1107680"
"STEVESTON","49.131","-123.189","BC","12.6","0",NA,"25.6","0","1.7","0","0.0","0","0.0","33.3","0","58.0","","5","","",NA,"167.7","0.0","1107710"
"VANCOUVER CITY HALL","49.283","-123.117","BC","",,NA,"",,"",,"0.0","0",NA,"30.7","0",NA,"","5","","",NA,"","","1108430"
"VANCOUVER HARBOUR CS","49.296","-123.122","BC","",,NA,"",,"",,"0.0","0",NA,"46.5","0",NA,"","6","","",NA,"","","1108446"
"VANCOUVER INT'L A","49.195","-123.182","BC","11.8","0","-1.0","23.9","0","2.2","0","0.0","0",NA,"52.5","0","81.0","","4","","",NA,"191.8","0.0","1108447"
"VANCOUVER PMO","49.283","-123.117","BC","13.3","0",NA,"25.0","0","3.3","0","0.0","0",NA,"47.3","0",NA,"","5","","",NA,"145.9","0.0","1108465"
"WHITE ROCK CAMPBELL SCIENTIFIC","49.018","-122.783","BC","13.0","0",NA,"26.1","0","2.2","0","0.0","0",NA,"43.7","0",NA,"","6","","",NA,"155.3","0.0","1108910"
"HOPE A","49.368","-121.498","BC","13.4","0",NA,"27.8","0","2.8","0","0.0","0",NA,"71.7","0",NA,"","12","","",NA,"144.9","1.8","1113540"
"HOPE LITTLE MOUNTAIN","49.383","-121.417","BC","13.5","0",NA,"27.8","0","3.3","0","0.0","0",NA,"36.4","0",NA,"","11","","",NA,"146.1","5.8","1113570"
"LILLOOET","50.700","-121.933","BC","17.1","0",NA,"33.3","0","1.1","0","0.0","0",NA,"21.6","0",NA,"","2","","",NA,"69.2","40.3","1114620"
"LYTTON 2","50.257","-121.608","BC","16.1","0",NA,"31.7","0","-2.8","0","0.0","0",NA,"4.6","0",NA,"","1","","",NA,"85.2","26.1","1114745"
"MOHA","50.883","-122.267","BC","",,NA,"",,"",,"0.0","0",NA,"8.8","0",NA,"","3","","",NA,"","","1115196"
"SKAGIT RIVER","49.083","-121.167","BC","",,NA,"",,"",,"0.0","0",NA,"9.1","0",NA,"","2","","",NA,"","","1117410"
"ADRA","49.733","-119.583","BC","",,NA,"",,"",,"0.0","0",NA,"7.9","0",NA,"","3","","",NA,"","","1120090"
"CHUTE LAKE","49.683","-119.533","BC","",,NA,"",,"",,"0.0","0",NA,"13.7","0",NA,"","6","","",NA,"","","1121620"
"HEDLEY","49.357","-120.077","BC","13.6","0","0.2","31.1","0","0.0","0","0.0","0","0.0","2.6","0","6.0","","1","","",NA,"147.5","11.7","1123360"
"JOE RICH CREEK","49.857","-119.126","BC","",,"","",,"",,"0.0","0","0.0","17.0","0","25.0","","4","","",NA,"","","1123750"
"KELOWNA","49.900","-119.467","BC","14.1","0",NA,"31.7","0","0.0","0","0.0","0",NA,"4.9","0",NA,"","1","","",NA,"135.3","13.2","1123930"
"KEREMEOS","49.200","-119.817","BC","15.9","0",NA,"32.2","0","3.3","0","0.0","0",NA,"0.6","0",NA,"","0","","",NA,"102.2","37.6","1124110"
"KEREMEOS 2","49.210","-119.821","BC","",,"","",,"",,"0.0","0",NA,"",,NA,"","","","",NA,"","","1124112"
"KIRTON","49.667","-119.950","BC","",,NA,"",,"",,"0.0","0",NA,"3.0","0",NA,"","2","","",NA,"","","1124260"
"MAMIT LAKE","50.383","-120.800","BC","",,NA,"",,"",,"0.0","0",NA,"5.6","0",NA,"","2","","",NA,"","","1124860"
"MCCULLOCH","49.800","-119.200","BC","7.2","0",NA,"23.9","0","-6.1","0","1.3","0",NA,"19.9","0",NA,"","5","","",NA,"335.3","0.0","1124980"
