"Environment and Climate Change Canada"
"Monthly Values for May - 1923"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"NEWGATE","49.017","-115.150","BC","11.2","0",NA,"27.8","0","-4.4","0","0.0","0",NA,"68.0","0",NA,"","14","","",NA,"211.7","0.0","1155490"
"ARMSTRONG","50.450","-119.183","BC","12.1","0",NA,"25.6","0","-3.3","0","0.0","0",NA,"42.4","0",NA,"","10","","",NA,"181.5","0.0","1160450"
"CHINOOK COVE","51.250","-120.183","BC","10.6","0",NA,"27.2","0","-2.8","0","0.0","0",NA,"56.0","0",NA,"","13","","",NA,"229.9","0.0","1161590"
"ENDERBY","50.550","-119.150","BC","12.9","0",NA,"28.3","0","-3.3","0","0.0","0",NA,"46.6","0",NA,"","9","","",NA,"160.3","1.3","1162680"
"KAMLOOPS","50.667","-120.333","BC","14.3","0",NA,"28.3","0","0.0","0","0.0","0",NA,"38.3","0",NA,"","8","","",NA,"115.7","0.4","1163779"
"SALMON ARM","50.700","-119.250","BC","12.7","0",NA,"25.0","0","-1.7","0","0.0","0",NA,"55.9","0",NA,"","10","","",NA,"163.2","0.0","1166945"
"TAPPEN","50.750","-119.333","BC","12.2","0",NA,"26.7","0","-3.9","0","0.0","0",NA,"52.7","0",NA,"","11","","",NA,"178.4","0.1","1167980"
"TRANQUILLE","50.717","-120.517","BC","14.7","0",NA,"29.4","0","0.0","0","0.0","0",NA,"27.5","0",NA,"","6","","",NA,"103.5","1.2","1168220"
"VAVENBY","51.576","-119.778","BC","11.8","1","-0.5","26.7","1","-2.2","1","0.0","0","0.0","35.0","0","80.0","","8","","",NA,"186.6","0.0","1168520"
"WESTWOLD","50.470","-119.751","BC","11.4","0","-0.1","29.4","0","-3.3","0","0.0","0","0.0","32.9","0","74.0","","10","","",NA,"205.0","0.0","1168880"
"FIELD","51.383","-116.483","BC","8.1","0",NA,"27.2","0","-6.7","0","0.0","0",NA,"49.4","0",NA,"","12","","",NA,"306.7","0.0","1172870"
"GLACIER","51.233","-117.483","BC","10.8","0",NA,"26.7","0","-1.7","0","12.2","0",NA,"93.4","0",NA,"","13","","",NA,"224.1","0.0","1173180"
"GOLDEN A","51.298","-116.982","BC","10.6","0","-0.6","25.6","0","-5.0","0","0.0","0","0.0","24.7","0","72.0","","6","","",NA,"228.3","0.0","1173210"
"REVELSTOKE","51.000","-118.200","BC","11.2","0",NA,"25.6","0","-2.2","0","0.0","0",NA,"61.0","0",NA,"","12","","",NA,"212.1","0.0","1176750"
"VALEMOUNT","52.817","-119.250","BC","",,NA,"",,"",,"0.0","0",NA,"13.4","0",NA,"","3","","",NA,"","","1178339"
